time,leela,network,v1,v2,win_b,win_w,puct1,puct2
2019-01-02 16:43:45.770110,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,16,14,0.3,0.8;
2019-01-02 16:47:25.150280,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,13,17,0.5,0.8;
2019-01-02 16:51:41.728995,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,14,16,0.8,0.8;
2019-01-03 01:56:25.205437,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,28,22,0.01,0.8;
2019-01-03 02:01:55.256466,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,19,31,0.05,0.8;
2019-01-03 02:07:27.550711,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,26,24,0.1,0.8;
2019-01-03 02:14:04.252311,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,22,28,0.3,0.8;
2019-01-03 02:21:12.070136,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,28,22,0.5,0.8;
2019-01-03 02:28:11.255471,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,28,22,0.8,0.8;
2019-01-03 03:03:48.871149,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,49,51,0.001,0.8;
2019-01-03 03:14:27.332601,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,49,51,0.01,0.8;
2019-01-03 03:25:05.762658,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,36,64,0.05,0.8;
2019-01-03 03:35:37.667935,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,56,44,0.1,0.8;
2019-01-03 03:46:39.915095,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,46,54,0.2,0.8;
2019-01-03 03:56:53.543383,/home/jonas/leela-study/leela-zero/src/leelaz,network.gz,10,10,49,51,0.3,0.8;
